res1=0.160647 ; res2=-0.343263
res1=0.299627 ; res2=0.193169
res1=0.821606 ; res2=0.218844
res1=0.954489 ; res2=0.442759
res1=0.964971 ; res2=-0.129177
res1=0.962566 ; res2=0.512748
res1=0.33449 ; res2=0.727329
res1=0.13796 ; res2=-0.336286
res1=0.332816 ; res2=-0.18195
res1=0.719429 ; res2=0.839225
res1=0.175706 ; res2=0.0619033
res1=0.780072 ; res2=0.159909
res1=0.710235 ; res2=-0.100806
res1=0.293931 ; res2=-0.32644
res1=0.827196 ; res2=0.343985
res1=0.868703 ; res2=-0.163128
res1=1.05209 ; res2=0.636481
res1=0.895747 ; res2=-0.247641
res1=0.186577 ; res2=-0.413243
res1=0.135174 ; res2=-0.3121
res1=0.81553 ; res2=0.272303
res1=0.722053 ; res2=0.900939
res1=0.542313 ; res2=0.0188364
res1=0.802254 ; res2=0.953445
res1=0.829316 ; res2=0.420668
res1=0.923339 ; res2=0.901124
res1=0.387569 ; res2=-0.266958
res1=0.283807 ; res2=-0.250748
res1=0.346288 ; res2=0.111483
res1=0.697605 ; res2=0.0803382
res1=0.724286 ; res2=0.202283
res1=0.294608 ; res2=-0.302007
res1=0.920946 ; res2=-0.0114481
res1=0.782632 ; res2=0.260213
res1=0.950051 ; res2=0.466226
res1=0.942309 ; res2=-0.104836
res1=0.792771 ; res2=0.454218
res1=0.64668 ; res2=0.406488
res1=0.934195 ; res2=0.138019
res1=0.783757 ; res2=0.429595
res1=0.345945 ; res2=-0.157784
res1=0.55429 ; res2=0.904471
res1=0.756547 ; res2=0.184405
res1=0.870368 ; res2=0.469502
res1=0.381119 ; res2=0.13049
res1=0.912214 ; res2=0.500498
res1=0.655236 ; res2=0.1077
res1=0.773904 ; res2=0.423032
res1=1.06749 ; res2=0.617538
res1=0.129501 ; res2=0.736687
res1=1.14842 ; res2=0.829329
res1=-0.252142 ; res2=0.579713
res1=0.859177 ; res2=0.355611
res1=1.08659 ; res2=0.605533
res1=0.948023 ; res2=0.486274
res1=1.11817 ; res2=0.877086
res1=1.10983 ; res2=0.570672
res1=0.837156 ; res2=0.477871
res1=0.289564 ; res2=0.591126
res1=0.997441 ; res2=0.520147
res1=0.980275 ; res2=0.633392
res1=1.08285 ; res2=0.672782
res1=1.00596 ; res2=0.542146
res1=1.09447 ; res2=0.642283
res1=0.994249 ; res2=0.772159
res1=1.03816 ; res2=0.574038
res1=1.00918 ; res2=-0.37931
res1=1.04567 ; res2=0.591956
res1=0.998265 ; res2=0.73578
res1=1.01416 ; res2=0.702969
res1=1.02705 ; res2=0.714587
res1=1.1285 ; res2=0.871983
res1=0.571211 ; res2=-0.172911
res1=0.993623 ; res2=-0.34515
res1=0.0586423 ; res2=0.0526149
res1=1.06408 ; res2=0.606749
res1=0.465018 ; res2=0.0820879
